Model,Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro),F1 Score (Weighted),MCC,Cohen Kappa,ROC AUC (Micro)
SVM,0.5958515637660022,0.6279962165199406,0.4938581225785719,0.482768613053278,0.51804684531703,0.24614478766177753,0.1782491436621334,0.8206688957431822
MLP,0.592448549667801,0.6848822324468182,0.4209636745802437,0.4043933858712749,0.5037873942741075,0.22310353137426162,0.14810490912370322,0.8205270411224257
XGBoost,0.5627937125263328,0.5879204225535618,0.459728841429175,0.4750136135906839,0.5181457958526805,0.14635217314012183,0.12743123932339506,0.8036820937636985
