Model,Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro),F1 Score (Weighted),MCC,Cohen Kappa,ROC AUC (Micro)
MLP,0.40463458110516937,0.34547453210980245,0.35609875604613334,0.2850522357123318,0.32417471908378503,0.01718701674460269,0.011535976622425004,0.6000100416895553
SVM,0.3941014422297845,0.31054477513153084,0.34165019547936537,0.22528289945948662,0.254030240232012,0.006420557664691451,0.0026004250281603802,0.4872998230283514
XGBoost,0.14843623399773131,0.15089480980771444,0.3335751077472932,0.14244341092153193,0.1266553737866553,-0.0032785521647959327,-0.001758821888361739,0.2922277204674081
